,Unnamed: 0,base_date,emd_nm,em_g,korean_resd_pop_cnt,korean_work_pop_cnt,korean_visit_pop_cnt,longtermfrgn_기타_visit_pop_cnt,longtermfrgn_아시아_visit_pop_cnt,longtermfrgn_기타_resd_pop_cnt,longtermfrgn_아시아_resd_pop_cnt,간식_cnt,농축수산물_cnt,마트/슈퍼마켓_cnt,배달_cnt,식품_cnt,아시아음식_cnt,양식_cnt,주점및주류판매_cnt,패스트푸드_cnt,한식_cnt,부페_cnt
11,11,2021-07-12,아라동,4785627.0,1010128.6,108910.73,271711.06,128.71301,4021.6606,1178.7908,25028.602,646.1226,315.00897,2477.9216,692.6938,742.25946,133.3753,79.657295,31.60054,354.05576,2223.7974,5.883778
12,12,2021-07-13,아라동,3865365.0,1014449.4,108197.84,289834.38,140.88193,4702.123,1234.5084,25396.037,656.68243,308.04266,2449.1787,792.80286,724.1876,239.35089,84.09345,19.91851,432.54703,2207.841,3.5435512
13,13,2021-07-14,아라동,2641612.5,1024116.9,92990.83,261381.33,130.58568,3964.697,1174.7262,25613.756,548.7012,256.75208,2128.5999,412.0677,592.9774,106.432205,44.185196,20.562424,346.33582,1586.5405,1.0955396
14,14,2021-07-15,아라동,3844282.5,1025033.5,82657.94,246440.95,168.80476,4207.28,1116.9281,24399.488,911.4731,441.75226,3041.9006,564.5071,713.09906,127.12362,89.177025,43.4706,615.82965,1841.7393,0.798386
15,15,2021-07-16,아라동,3555410.2,1006899.25,63553.47,246115.19,153.90427,3865.0996,1059.2119,23881.088,908.43695,391.93314,2910.2568,786.20874,660.7728,167.61975,122.912094,54.244667,656.39856,2165.6418,-0.97132474
16,16,2021-07-17,아라동,3828758.8,997953.8,50478.504,241829.5,113.962585,4080.2468,980.1119,24053.164,734.83673,340.93097,2621.8552,831.7999,706.76984,229.1193,123.01027,54.4301,531.1525,2228.0286,-0.9157479
17,17,2021-07-18,아라동,3909302.5,1046797.3,44498.113,219314.58,90.114876,3637.9128,976.665,23953.377,546.4122,253.42845,2459.1758,902.3056,596.5106,175.52882,77.19444,37.744736,469.41672,1805.3414,1.0049098
18,18,2021-07-19,아라동,4777095.5,989918.7,102487.56,272692.94,131.09781,3750.3428,1083.3701,24393.613,673.0465,306.47705,2482.1392,636.9114,748.7295,133.40843,82.63939,39.568672,333.06717,2251.2546,5.9070325
19,19,2021-07-20,아라동,3703841.0,971415.56,103634.34,297723.78,161.72423,4496.7783,1072.6248,24428.309,691.3292,316.4806,2422.377,682.40436,738.04584,228.3153,92.88761,31.112967,430.5308,2342.7249,3.547979
20,20,2021-07-21,아라동,2796915.5,988926.6,90591.08,270702.97,145.33043,4026.0557,1056.5731,23922.521,580.7942,243.56305,2163.1753,482.51093,607.9434,140.68289,46.345062,23.923811,353.9468,1807.8553,1.7281581
21,21,2021-07-22,아라동,3965320.0,973301.7,90168.375,272964.16,202.0239,4729.4434,967.23627,23249.543,822.3426,366.56064,2746.3113,541.7232,723.68976,203.29227,100.323586,59.24478,509.9113,2360.3252,2.8716013
22,22,2021-07-23,아라동,3291087.2,954404.06,82689.43,274805.47,212.4516,4653.8975,926.12146,22876.605,898.1549,375.6949,2706.383,701.8921,693.70404,217.8032,140.45486,65.612335,646.7432,2659.618,1.0655075
23,23,2021-07-24,아라동,3393622.2,936561.44,47801.438,254090.55,169.43321,4446.8364,860.4026,22422.926,821.6964,388.708,2873.51,739.2508,778.52985,294.76343,158.98196,74.753006,604.8643,2810.8657,-1.0900918
24,24,2021-07-25,아라동,3687081.5,963960.0,40891.01,232462.98,156.4228,4074.259,797.56866,22508.674,569.2241,251.2192,2453.8708,795.01984,639.9507,220.73076,116.29284,48.97769,527.78015,2203.7744,1.7630328
25,25,2021-07-26,아라동,4282245.5,912105.94,100576.016,299369.53,184.0937,4237.597,812.0575,22917.592,689.3619,304.97174,2466.5293,478.3498,774.2499,167.61026,100.54209,66.34234,337.07288,2560.613,4.40905
26,26,2021-07-27,아라동,3643948.5,883658.1,104633.27,329908.47,200.27872,4787.42,765.42816,22713.803,702.45306,320.1146,2400.5615,472.57263,773.74725,228.92697,103.85958,63.101,391.3818,2790.5247,2.286544
27,27,2021-07-28,아라동,3236790.5,894822.75,103381.41,333476.7,191.54604,4889.5234,779.3195,22999.816,698.4836,271.58832,2267.2683,487.84256,694.27374,261.35223,98.99079,34.34725,436.65582,2756.2927,2.159889
28,28,2021-07-29,아라동,3352680.5,901801.94,102524.44,332907.72,201.77461,5039.1255,772.7772,22748.084,646.9883,261.05133,2228.1428,475.54794,617.2429,221.19174,92.21202,45.77494,422.73676,2524.6348,5.1065793
29,29,2021-07-30,아라동,3358313.0,883026.2,109520.29,333424.34,247.32265,5220.0215,752.0439,22171.357,788.8623,343.689,2478.815,608.8973,727.8263,263.60574,162.52953,73.6886,569.20825,3056.4443,4.906005
30,30,2021-07-31,아라동,3328543.2,885082.94,45434.24,286143.5,191.15497,4571.115,756.4099,20689.324,839.27985,407.7903,2935.0479,647.6753,803.82007,354.38882,174.99928,83.5986,614.53534,3301.4656,0.24888441
31,31,2021-08-01,아라동,3811827.8,911971.56,36692.42,257423.52,172.3804,4325.1807,753.36273,21228.947,623.9628,276.79382,2547.9407,726.0103,682.08673,245.92561,137.78896,68.53064,560.06116,2535.4497,0.9958845
32,32,2021-08-02,아라동,3927138.2,880650.3,98297.34,322511.62,193.95738,4607.194,752.41943,21782.646,700.3773,309.11673,2421.7622,438.5514,753.4817,183.86852,103.482956,71.56604,347.0793,2674.9,2.6066945
33,33,2021-08-03,아라동,3588747.5,858234.4,105317.8,343666.97,207.94218,4742.2017,712.62244,21743.273,706.0242,327.68524,2403.866,442.92496,769.34247,222.32784,108.55294,72.460945,393.79654,2880.5461,0.9207133
34,34,2021-08-04,아라동,3245404.8,862648.9,100764.875,343700.06,196.89923,4846.2124,691.9026,22629.232,687.00165,288.25256,2239.6194,463.49646,694.4497,262.5354,127.75709,39.957485,472.88553,2855.692,2.982822
35,35,2021-08-05,아라동,3028830.0,893116.1,103368.19,329969.94,203.17754,4659.837,720.0366,22373.006,619.6566,244.70163,2135.138,450.04224,605.4571,203.52968,77.78518,38.274994,425.8832,2392.377,4.727602
36,36,2021-08-06,아라동,3758415.0,869907.1,110872.23,336064.38,260.15775,4998.986,688.72424,21688.717,775.6592,347.6974,2526.4849,582.5131,749.7659,267.49304,162.44688,65.31942,548.0393,3055.7659,6.899432
37,37,2021-08-07,아라동,3569315.2,865573.7,48946.574,304484.72,190.0869,4783.264,691.2081,20304.53,833.16315,403.42145,2834.9385,597.44696,818.67267,364.01147,183.50897,81.19777,584.34827,3436.6934,1.4024291
38,38,2021-08-08,아라동,4193740.8,888637.2,35180.07,269780.0,164.54082,4315.094,705.39575,20434.57,664.2354,307.17532,2695.0696,712.5919,747.3938,277.5964,165.6319,83.21884,585.37036,2753.267,0.15297197
39,39,2021-08-09,아라동,3876187.5,867051.0,98276.7,349110.6,212.6778,4951.8657,712.9496,21351.318,692.0337,323.58945,2481.4387,431.03043,781.9546,199.71062,108.64665,58.780876,363.1451,2772.3652,3.3337188
40,40,2021-08-10,아라동,3493644.8,846846.94,114067.086,368351.66,218.82399,5335.308,687.99164,21446.867,709.39185,406.4066,2503.7693,451.25653,778.51624,239.31293,136.12923,55.992874,437.16006,2973.475,2.1175168
41,41,2021-08-11,아라동,3511562.8,862761.7,104455.59,358746.25,178.82431,5313.6064,666.3627,21951.816,751.695,344.67178,2518.0513,484.77383,800.90955,235.29846,107.258896,47.28368,447.37607,2770.423,1.8079873
42,42,2021-08-12,아라동,3416857.8,877165.9,95224.695,326704.97,172.2526,4996.9907,647.7588,21841.936,634.95276,262.2457,2252.4368,428.24945,616.90485,191.74054,80.818245,52.114304,407.39008,2307.164,3.6303575
43,43,2021-08-13,아라동,3681239.8,862972.44,95362.8,334377.6,227.26964,5576.87,671.2672,21150.11,747.4967,305.3243,2444.919,588.8992,690.3779,249.94331,177.48239,99.10503,531.9929,2890.9246,4.480057
44,44,2021-08-14,아라동,3673387.0,865452.94,50381.7,292634.9,214.18285,5050.873,649.27795,20254.55,809.42694,363.03543,2759.347,649.93933,798.2123,341.12387,178.6723,75.34732,626.2213,3399.919,-0.0714086
45,45,2021-08-15,아라동,4435736.0,896009.6,38824.293,259534.77,201.4979,4473.3306,651.77625,20765.568,636.96625,292.79004,2774.61,719.71545,717.97095,295.5087,165.67996,85.3537,592.944,2776.465,0.6199665
46,46,2021-08-16,아라동,4027653.0,873733.06,107632.93,342053.97,286.68433,5238.3926,713.1748,21778.025,656.8605,364.0234,2566.9011,477.28076,826.52325,222.42622,93.299805,44.137962,398.0228,2809.0208,3.3659837
47,47,2021-08-17,아라동,3704758.5,858735.9,110963.56,334317.0,214.70135,5320.753,677.6749,22168.232,764.9425,493.3924,2833.154,521.9973,844.6256,298.60846,159.93091,66.91939,511.5002,2947.7056,5.4717836
48,48,2021-08-18,아라동,4459216.0,874841.94,71704.766,294292.34,164.6581,4841.695,669.4045,21334.322,972.129,393.79547,3143.625,474.42218,1087.1091,209.00713,97.35091,54.99285,456.55872,2478.2705,2.058076
49,49,2021-08-19,아라동,3342655.0,851032.2,64071.098,269748.84,124.45025,3908.9646,619.92706,21921.512,468.92972,183.58864,1805.0736,335.31284,441.30914,107.33476,86.80556,47.782093,365.61105,1636.84,1.1750611
50,50,2021-08-20,아라동,3697967.5,861483.44,80158.914,287270.56,163.1419,4069.6946,642.7915,21252.672,701.69147,242.04524,2324.987,527.7072,592.17926,235.20605,189.67508,105.23053,512.4931,2741.5977,1.0058995
51,51,2021-08-21,아라동,3721453.0,873540.75,44753.25,258145.16,164.80411,3834.772,618.256,21049.008,741.3264,291.02005,2592.9106,661.5128,676.38477,316.15512,175.34987,79.88547,620.301,3127.1626,1.4428709
52,52,2021-08-22,아라동,4497366.5,914638.44,37895.07,231132.62,167.48915,3210.5303,669.17114,21740.936,654.5114,242.13788,2532.6873,727.34924,659.38965,280.86807,186.13399,79.95459,550.33765,2706.942,1.324942
53,53,2021-08-23,아라동,4104288.2,881761.75,112206.74,298227.44,244.09225,3888.9458,697.1981,22650.14,685.48676,291.29172,2456.9285,429.64297,767.2858,201.59258,107.39157,57.394653,373.1154,2769.25,4.150651
54,54,2021-08-24,아라동,3702705.5,869064.0,123462.82,323508.3,301.02982,4824.838,697.38477,22969.549,724.7141,322.11237,2450.2527,447.68613,739.5182,262.80643,140.19446,72.24786,433.58557,2961.5251,4.9186497
55,55,2021-08-25,아라동,3312486.8,871627.75,122031.48,333654.47,289.64212,5497.1855,726.0091,22882.625,760.4567,264.56415,2324.3933,472.2188,695.1156,272.09628,125.902565,47.293808,415.2708,2988.8867,2.8934922
56,56,2021-08-26,아라동,3164794.8,875836.3,129576.375,340094.75,313.19077,6358.8706,745.8495,22479.242,649.2834,257.8511,2193.3965,492.28653,606.73334,263.55884,120.20098,49.278625,454.08023,2909.7488,1.6629848
57,57,2021-08-27,아라동,2883858.8,867441.9,130442.66,321181.3,367.62622,6370.076,717.3283,22296.473,715.18604,292.0492,2191.512,622.6991,635.9327,338.59656,135.43996,86.25785,559.6339,3131.2542,6.615021
58,58,2021-08-28,아라동,3357643.2,856036.94,46753.543,281489.44,367.4727,5690.017,621.0237,20486.426,808.22076,363.66913,2673.588,667.34644,710.23334,343.50494,186.38063,65.430275,623.3243,3462.8428,0.19891635
59,59,2021-08-29,아라동,4306995.0,883342.5,34890.703,261696.16,370.40936,5284.1587,681.7924,20399.854,636.18475,280.6266,2680.2754,741.30304,679.7803,283.7433,178.32089,53.40822,552.6428,2983.2175,0.5599871
60,60,2021-08-30,아라동,3655172.2,867225.8,115292.34,343294.16,463.18335,6005.9756,734.38434,21475.996,675.46246,289.47858,2408.017,502.15417,732.57385,201.65553,96.095215,61.093117,362.33713,2786.3506,-0.35265422
61,61,2021-08-31,아라동,3387989.5,868299.44,127001.01,370922.06,419.3759,6754.7695,739.9637,22228.473,710.0544,309.86688,2478.5808,497.32492,662.98193,247.52127,142.58511,72.0497,432.54584,3017.372,2.9738593
0,0,2021-07-01,오라동,1898109.0,298731.97,38183.13,264645.8,96.447815,3182.8232,24.638424,2460.2769,223.37402,97.13389,1222.9714,245.4589,440.98068,121.464584,39.5716,29.073322,196.96913,1287.1716,-0.18862188
1,1,2021-07-02,오라동,1793450.5,291291.84,38252.348,266234.12,120.51646,3168.6904,11.8316345,2568.3132,259.59482,105.634895,1182.4963,283.29193,445.6535,137.28032,40.621517,40.911255,234.02722,1424.0018,0.6738182
2,2,2021-07-03,오라동,2122286.8,315554.47,27041.443,247236.78,104.60575,3329.6194,29.614729,2705.2295,268.38782,92.699455,1277.7068,332.28207,461.18692,156.75732,46.025375,31.632563,270.1392,1346.1134,0.004543662
3,3,2021-07-04,오라동,2379026.0,330860.66,24334.93,233578.7,101.532394,3213.545,45.175484,2845.988,227.32082,81.390564,1277.8022,336.81058,448.40543,125.49362,37.43658,20.038473,237.47379,1132.4017,0.8187044
4,4,2021-07-05,오라동,2119370.5,304117.75,37830.914,254462.02,82.99405,3161.78,35.27943,2765.4316,237.27388,81.36691,1199.2557,213.57849,416.00388,93.39689,27.986519,15.629478,188.81741,1147.2946,0.49694896
5,5,2021-07-06,오라동,1997370.6,297970.56,38604.105,253978.94,103.18791,3387.5024,31.866138,2752.9524,239.31235,98.10795,1197.2756,204.09029,398.7823,105.11599,38.13666,15.47235,180.97948,1231.5669,0.017096624
6,6,2021-07-07,오라동,1831233.2,296258.7,38816.746,256242.55,105.769135,3280.586,28.332888,2493.5032,231.86617,81.812515,1201.9197,241.18549,436.11407,119.34358,29.215206,30.211945,201.25212,1299.9056,-0.7385659
7,7,2021-07-08,오라동,1959897.9,298280.2,38913.973,260702.45,138.19371,3251.0361,32.363197,2614.5852,222.14856,92.98093,1217.3062,239.69482,450.50946,124.77786,39.366116,32.208122,190.87828,1342.5107,-0.6677766
8,8,2021-07-09,오라동,1811752.9,295487.2,38719.816,259325.05,137.27458,3230.7495,24.179226,2541.8062,255.76163,104.909096,1137.9022,266.16544,438.9391,116.60174,39.511227,27.67924,229.43689,1378.8566,1.5148108
9,9,2021-07-10,오라동,2098378.8,316357.75,27049.627,246967.16,112.90087,3562.215,30.279228,2733.2617,268.7569,90.47224,1280.106,322.45767,460.7326,158.61855,46.0356,30.332794,285.4332,1312.1404,-0.06778702
10,10,2021-07-11,오라동,2346194.2,330850.4,24098.361,231346.88,98.500374,3199.5469,33.634106,2893.4749,228.13754,78.11179,1272.9156,331.4572,441.89902,130.08379,43.357914,20.1382,224.22168,1101.3627,1.1998949
11,11,2021-07-12,오라동,2080327.6,305085.6,37736.61,252654.86,92.20295,3277.582,34.181675,2741.5198,237.42433,72.38293,1177.95,202.6553,409.8768,95.21324,30.22973,17.880053,195.14151,1129.8151,0.35085195
12,12,2021-07-13,오라동,1964403.1,296530.4,38551.105,253787.12,117.7583,3521.2773,33.849056,2783.0007,235.9603,85.45852,1188.4421,173.32361,405.04214,104.41015,36.490406,24.246105,184.50262,1216.0931,-0.23276255
13,13,2021-07-14,오라동,1896448.5,290011.1,39160.47,253706.23,98.42752,3245.2576,28.634068,2471.5044,242.3026,94.12934,1230.1016,230.36865,459.2261,124.97485,33.067146,35.62994,201.26826,1334.7745,-0.46362942
14,14,2021-07-15,오라동,1861439.9,292986.6,38352.277,258053.7,93.970764,3080.415,29.938337,2580.4172,206.74352,80.04737,1128.6735,209.73361,408.9756,116.70741,33.834606,35.087105,189.64499,1298.628,-0.42379862
15,15,2021-07-16,오라동,1790788.8,288701.56,38466.234,253310.44,122.04063,2935.4,30.439407,2452.448,249.4167,96.1604,1091.5355,242.88936,411.62592,99.73957,37.22164,35.450397,213.79796,1390.8922,2.165969
16,16,2021-07-17,오라동,2087108.1,309795.25,26948.785,245294.11,108.79419,3445.0813,22.157951,2519.965,278.26077,92.30226,1276.5178,320.85864,464.52997,158.02261,59.737247,27.338083,288.37927,1389.7504,0.08837029
17,17,2021-07-18,오라동,2386148.2,321624.88,22995.375,232335.3,106.58826,3264.9036,37.698143,2655.9568,224.89561,87.42788,1303.6798,319.82556,450.21848,157.17265,52.712074,23.088623,258.93027,1240.4545,1.0040787
18,18,2021-07-19,오라동,2011164.5,292044.8,37095.27,260057.77,87.36734,3756.9019,31.485264,2664.4739,232.95436,87.673035,1170.6989,173.63028,414.57297,99.08747,27.266474,26.00617,192.79646,1184.2966,-0.036325157
19,19,2021-07-20,오라동,1947322.8,285885.4,37951.953,262581.12,111.25156,3716.6108,38.44903,2665.8242,242.83475,82.77782,1198.4031,165.86821,401.52094,118.87109,32.420963,29.320698,193.51962,1303.3022,-0.07432826
20,20,2021-07-21,오라동,1820915.2,284561.44,37931.01,262919.6,93.71974,3498.4663,33.788734,2363.9697,236.6069,81.38521,1199.1396,231.14323,441.42123,131.46642,30.969534,35.26938,194.84001,1364.2955,-0.6093215
21,21,2021-07-22,오라동,1907942.6,287739.75,37096.645,263063.53,73.19633,3098.389,14.806849,2385.3616,218.30933,82.80502,1146.6445,228.13745,418.09805,122.92009,32.92448,35.071545,173.66457,1305.8647,0.96848845
22,22,2021-07-23,오라동,1729447.6,281967.78,38096.93,265191.12,118.033714,3022.1384,4.5534053,2401.0762,271.63342,86.01948,1124.783,244.36328,421.48212,127.02671,30.165277,46.950565,204.31036,1442.6737,2.7714455
23,23,2021-07-24,오라동,1958568.1,300819.97,26550.28,254213.58,121.70262,3507.1965,15.26478,2510.8772,293.4125,119.988594,1285.4023,295.76645,456.45416,181.52963,61.966473,29.298395,278.82773,1444.6716,0.060264096
24,24,2021-07-25,오라동,2257444.8,320000.53,22531.836,241272.75,118.33535,3448.419,23.488592,2562.8242,227.07265,81.58032,1271.7825,323.96277,429.41214,141.79707,50.36134,23.24341,249.63582,1242.4802,0.70991546
25,25,2021-07-26,오라동,1970578.1,287800.72,35711.38,265223.7,106.271255,3743.612,12.664124,2595.06,251.48537,103.44284,1227.0433,165.94943,429.3677,94.72322,33.61256,20.75184,207.60612,1245.3667,0.3011238
26,26,2021-07-27,오라동,1955961.9,280851.38,37405.53,269719.28,119.46526,3779.8906,19.665586,2625.0774,259.128,104.86188,1212.7885,174.13681,413.71368,112.76568,42.387676,23.239388,172.73935,1369.2931,-0.16228616
27,27,2021-07-28,오라동,1836654.0,283567.66,37111.57,267529.34,104.34351,3523.426,27.103706,2453.9849,238.79572,92.415985,1194.8798,228.2835,438.76556,145.36418,33.65673,31.601362,183.03275,1357.6284,-0.39433882
28,28,2021-07-29,오라동,1875537.6,284034.88,36902.01,267594.4,104.229614,3170.1958,18.48111,2504.8965,235.41078,97.99129,1181.2485,207.4039,424.4144,135.55452,42.401062,30.192993,179.60295,1336.5964,0.17659071
29,29,2021-07-30,오라동,1671706.9,280722.28,37411.75,269922.06,146.76514,3122.5261,1.6402833,2535.6987,255.59428,90.02091,1119.1954,230.6403,407.0805,138.15143,38.904274,30.408108,219.74765,1432.9467,1.8506619
30,30,2021-07-31,오라동,1926788.5,303273.38,26308.438,258681.3,133.9105,3397.9133,20.39428,2630.6443,260.57782,101.48717,1253.3534,282.29108,441.85947,178.37604,60.588383,31.243034,282.1699,1454.3744,-0.06748125
31,31,2021-08-01,오라동,2221874.0,319657.53,23390.121,240118.11,119.40703,3264.0176,27.027418,2695.4116,224.31212,74.06516,1290.1212,335.49927,428.09308,142.35803,57.684795,28.344019,246.35565,1245.7639,0.4886283
32,32,2021-08-02,오라동,1944673.6,293054.03,37003.395,261292.17,98.56935,3430.7422,20.613249,2599.6829,244.9326,85.271706,1200.5146,179.05072,422.3853,97.853386,33.026913,18.862411,201.46213,1216.2106,0.83755857
33,33,2021-08-03,오라동,1957600.6,287188.8,38630.527,264428.3,108.56651,3575.0051,24.450172,2713.7932,245.6989,86.963135,1193.6195,153.67049,402.0929,113.05479,45.167877,26.735512,182.77122,1339.7961,-0.21895096
34,34,2021-08-04,오라동,1873997.6,285977.5,38968.047,263789.84,86.23644,3442.0215,21.74472,2436.5217,244.35396,91.710335,1223.3789,218.08325,440.92023,126.71268,43.860577,33.04203,187.07774,1384.6378,-0.40030026
35,35,2021-08-05,오라동,1859090.1,286463.6,38601.3,265592.22,98.349754,3227.0527,28.022636,2553.3342,221.03314,79.69731,1137.7664,209.10674,414.1023,123.65403,45.054394,38.58677,173.96242,1369.088,-0.59529126
36,36,2021-08-06,오라동,1707426.1,279724.97,38295.75,261335.31,105.49866,2981.0842,21.375296,2513.2468,254.42427,87.60036,1066.8372,222.34296,392.9498,115.22695,33.75805,40.49151,192.1884,1482.68,2.1155071
37,37,2021-08-07,오라동,1968861.9,302590.56,27270.016,248485.27,122.15499,3133.3994,14.569672,2492.0232,271.00763,96.8185,1241.7802,308.46848,465.52457,170.21454,58.77501,40.455418,284.98947,1538.801,0.2530644
38,38,2021-08-08,오라동,2318576.0,317038.3,23524.834,238229.67,119.019226,3186.1597,38.296135,2660.6216,229.64343,75.42445,1284.1393,328.11612,426.53934,143.1398,45.000942,32.846725,275.88293,1322.3816,-0.13667688
39,39,2021-08-09,오라동,1910748.6,289613.25,38208.953,262275.6,93.055504,3358.199,29.161024,2723.0227,227.65085,79.20443,1188.2588,179.76367,388.4192,110.91578,27.946693,25.002409,189.39594,1238.9633,0.14304645
40,40,2021-08-10,오라동,1920607.5,283081.28,38327.273,265478.12,93.2085,3411.957,28.401308,2684.7505,230.25888,85.02155,1225.1566,177.5481,400.5717,122.67312,40.287163,35.88796,177.7175,1322.5922,-0.127896
41,41,2021-08-11,오라동,1845210.8,283058.3,38029.332,267331.78,75.11788,3485.5303,29.413155,2512.461,226.37064,84.28426,1212.5193,227.56808,435.38782,130.00322,34.42955,32.893116,194.27159,1368.9976,-0.23291163
42,42,2021-08-12,오라동,1899241.5,283388.97,37882.758,267211.62,65.20307,3061.0974,20.206861,2441.3628,212.61313,92.080315,1151.1907,224.4993,429.06943,126.870476,38.877613,37.454357,183.35577,1365.9901,0.08909941
43,43,2021-08-13,오라동,1724569.8,280307.5,37977.78,265935.6,116.41957,3033.6113,12.875653,2460.4036,269.86356,84.41156,1110.4678,227.98468,407.88766,129.77228,31.88879,35.437885,208.56827,1426.9425,4.2254763
44,44,2021-08-14,오라동,1921123.9,303695.78,28075.32,258241.4,120.331215,3246.969,19.138805,2479.0684,278.57126,104.80644,1277.4861,315.66733,448.9636,185.574,59.411266,33.521954,282.44153,1471.1475,0.45725518
45,45,2021-08-15,오라동,2317746.5,322895.56,23479.533,240689.89,121.19842,3301.8806,33.38521,2589.227,214.28734,74.2947,1250.1161,345.54068,421.9325,144.41118,54.421864,24.736269,242.35553,1242.8931,0.4628432
46,46,2021-08-16,오라동,1968072.4,290595.38,37953.688,267022.0,104.25185,3610.2542,31.229635,2613.226,236.26807,75.63862,1174.722,164.24545,395.09808,100.381805,34.360317,25.365772,208.3384,1198.3971,0.743837
47,47,2021-08-17,오라동,1955534.9,284518.34,39235.562,269952.06,131.59802,3748.4702,35.88483,2640.6665,237.07666,72.26684,1195.3678,158.58301,398.64053,119.3592,38.739983,28.762424,179.05057,1308.6611,0.38451198
48,48,2021-08-18,오라동,1793707.9,283918.9,38790.18,268327.8,111.037346,3451.6248,29.5603,2425.977,235.30205,74.262535,1203.49,218.90987,432.21347,135.88673,35.371147,32.752888,189.71957,1375.9818,-0.30959868
49,49,2021-08-19,오라동,1856070.2,288322.88,38207.99,267419.7,100.99323,3054.4666,16.694052,2518.4329,227.35051,79.31873,1108.5331,226.08553,399.4506,110.25517,36.070385,32.9953,173.9864,1322.6833,1.9065977
50,50,2021-08-20,오라동,1712377.4,284859.97,38995.695,270585.4,122.25373,3037.7966,16.331835,2466.4238,277.22748,84.17285,1111.7023,226.76805,390.32834,111.74869,28.653395,35.192944,198.74004,1432.0675,3.7254908
51,51,2021-08-21,오라동,1930902.2,306397.94,27298.863,259979.61,134.85094,3385.5137,15.150955,2527.1794,282.1655,101.336685,1207.3062,294.20706,439.8198,172.63933,58.42204,30.051945,287.33096,1434.0856,0.24681732
52,52,2021-08-22,오라동,2300410.8,322336.47,23547.355,248551.31,133.80846,3328.6094,27.401169,2607.492,222.89105,71.23751,1248.6561,320.51123,419.3371,135.6258,55.847588,26.82003,262.60602,1260.6431,0.20166993
53,53,2021-08-23,오라동,1924755.4,294285.84,37051.984,270558.5,120.728546,3527.2515,15.759336,2615.5085,239.62346,81.28868,1197.7144,181.34366,407.0351,97.24535,31.435104,23.441277,209.7813,1223.2471,0.6720401
54,54,2021-08-24,오라동,1976128.2,288011.47,38905.855,275403.34,129.59702,3725.9866,13.71178,2607.4895,239.84268,80.79707,1182.1315,176.62277,397.4685,117.88468,38.47103,27.140238,181.8608,1362.9164,-0.14415778
